OnesCount,CorrelatedPairs,Qubits,delta,Run
24,24,45,0,795
88,81,185,-8,796
56,48,115,-4,797
56,50,115,-3,798
40,39,85,-4,799
72,64,140,0,800
88,87,175,-1,801
112,96,230,-7,802
48,47,95,-1,803
56,54,110,-2,804
24,19,45,0,805
24,16,45,1,806
48,41,85,5,807
16,15,30,0,808
64,67,135,-4,809
88,75,185,-7,810
72,56,120,9,811
56,65,115,-2,812
56,45,115,-4,813
56,60,125,-8,814
16,16,40,-4,815
72,63,145,-4,816
40,43,90,-6,817
72,62,140,-1,818
56,52,110,-1,819
40,43,85,-4,820
24,24,50,-2,821
64,68,125,-1,822
64,57,125,-1,823
80,73,170,-8,824
88,79,190,-9,825
72,66,145,-2,826
48,41,90,1,827
56,34,110,-2,828
16,15,35,-2,829
56,52,120,-6,830
40,33,85,-4,831
64,69,140,-8,832
48,41,90,1,833
40,37,75,1,834
24,22,45,1,835
32,34,60,1,836
56,57,115,-3,837
56,48,110,-2,838
48,44,95,-1,839
32,33,60,1,840
64,59,135,-5,841
48,40,100,-4,842
96,74,175,5,843
48,42,85,4,844
48,45,95,-1,845
16,15,35,-2,846
32,24,60,0,847
64,66,130,-3,848
48,47,95,-2,849
64,56,130,-3,850
80,77,150,4,851
48,46,100,-4,852
24,19,50,-2,853
56,58,115,-3,854
88,75,155,8,855
48,45,95,-1,856
56,45,105,1,857
64,54,130,-3,858
80,83,170,-7,859
40,38,90,-6,860
40,35,80,-1,861
32,24,65,-2,862
48,42,90,1,863
32,26,55,3,864
80,75,170,-8,865
72,58,130,4,866
64,60,125,-2,867
32,33,75,-6,868
72,74,160,-10,869
72,86,160,-10,870
96,84,180,2,871
48,38,105,-6,872
80,70,160,-3,873
72,74,150,-6,874
48,42,90,1,875
72,67,140,-1,876
32,33,65,-1,877
40,29,75,1,878
64,58,120,1,879
72,71,150,-5,880
64,66,125,-1,881
72,63,130,4,882
88,86,180,-5,883
64,58,125,0,884
24,26,50,-2,885
40,38,80,-2,886
64,63,125,-1,887
64,59,125,-1,888
56,46,100,3,889
48,49,100,-4,890
40,32,75,0,891
32,29,60,0,892
64,57,130,-4,893
48,45,95,0,894
48,42,95,-1,895
24,26,55,-4,896
64,65,135,-6,897
64,53,130,-4,898
56,48,110,-2,899
48,42,100,-4,900
40,30,75,1,901
56,45,100,4,902
56,58,115,-3,903
32,27,70,-4,904
72,55,125,7,905
32,35,70,-4,906
56,51,100,3,907
32,36,75,-6,908
64,59,130,-4,909
56,49,110,0,910
64,54,125,-1,911
88,71,180,-5,912
72,61,150,-5,913
40,29,70,3,914
64,54,125,0,915
72,73,150,-5,916
64,55,125,-1,917
88,79,175,-2,918
56,52,105,1,919
48,54,95,-2,920
24,28,50,-2,921
56,53,120,-6,922
40,34,65,6,923
88,89,180,-4,924
40,51,90,-6,925
56,52,110,-1,926
72,54,130,4,927
40,29,65,6,928
48,45,95,-1,929
32,30,65,-2,930
48,35,95,-2,931
32,34,70,-4,932
56,41,115,-3,933
32,28,65,-2,934
24,17,40,3,935
