OnesCount,CorrelatedPairs,Qubits,delta,Run
28,28,55,1,819
63,54,135,-2,820
42,32,75,6,821
35,32,65,4,822
42,38,75,6,823
35,25,70,2,824
56,57,125,-3,825
35,28,60,6,826
28,22,50,4,827
49,45,85,8,828
21,27,50,-3,829
49,36,85,8,830
56,50,110,4,831
28,20,45,6,832
42,43,85,2,833
56,53,120,-1,834
42,32,70,8,835
42,32,75,6,836
56,51,115,0,837
14,10,25,2,838
49,50,100,1,839
63,52,120,6,840
35,34,75,-1,841
28,25,65,-3,842
35,31,65,4,843
35,35,75,-2,844
49,42,95,3,845
70,60,130,8,846
42,41,75,6,847
56,50,100,8,848
42,38,85,1,849
42,32,75,5,850
28,21,45,6,851
21,15,35,4,852
28,19,55,2,853
63,61,125,3,854
70,51,140,4,855
28,22,50,4,856
28,21,45,6,857
49,52,105,-2,858
35,37,65,4,859
49,43,90,6,860
63,53,120,5,861
28,27,55,2,862
56,53,105,6,863
56,47,105,6,864
42,33,75,6,865
28,17,50,4,866
56,48,105,6,867
14,10,20,4,868
42,32,80,4,869
35,30,70,2,870
35,28,65,4,871
42,33,85,2,872
56,53,110,3,873
63,53,120,6,874
42,42,85,2,875
56,57,110,2,876
42,44,85,1,877
56,65,120,0,878
35,33,65,4,879
49,42,95,4,880
77,71,150,5,881
42,35,80,4,882
14,11,25,2,883
49,40,90,5,884
35,34,75,0,885
28,19,40,8,886
28,22,60,0,887
21,11,35,4,888
49,45,95,3,889
49,42,100,1,890
56,47,105,6,891
49,39,95,4,892
35,28,60,6,893
42,39,80,4,894
28,25,55,2,895
28,26,50,4,896
21,18,35,4,897
49,38,100,2,898
56,51,110,3,899
35,27,65,4,900
21,18,45,-1,901
28,30,55,2,902
28,18,50,4,903
21,22,40,2,904
49,45,95,4,905
21,17,40,2,906
28,25,50,4,907
35,36,70,2,908
7,7,15,0,909
49,39,90,6,910
77,80,160,-1,911
49,37,80,10,912
42,39,75,6,913
42,32,75,6,914
7,6,10,2,915
35,26,65,4,916
35,35,75,-1,917
35,25,60,6,918
56,45,95,10,919
28,23,50,4,920
28,29,60,-1,921
49,37,110,-4,922
28,29,60,-1,923
49,38,80,10,924
21,21,45,0,925
42,37,75,6,926
49,46,95,4,927
35,35,75,-1,928
56,50,110,3,929
28,27,55,2,930
35,32,65,4,931
42,44,85,1,932
63,56,135,0,933
42,39,85,0,934
42,31,75,6,935
35,30,60,6,936
49,34,105,-1,937
63,58,115,7,938
49,41,85,8,939
42,41,70,8,940
42,35,95,-4,941
42,49,100,-6,942
42,43,75,6,943
56,49,110,3,944
42,35,70,7,945
28,27,55,2,946
28,24,50,4,947
56,50,105,6,948
21,18,40,2,949
70,62,135,5,950
35,29,70,2,951
21,13,35,4,952
28,21,50,4,953
35,28,70,2,954
42,39,85,2,955
35,29,60,6,956
35,30,65,3,957
56,50,110,4,958
42,34,75,5,959
35,28,70,2,960
63,62,140,-4,961
49,41,85,8,962
35,35,80,-3,963
70,75,155,-4,964
42,31,80,4,965
63,62,125,4,966
28,22,55,2,967
49,35,95,4,968
28,23,45,6,969
14,11,20,4,970
49,34,95,4,971
49,48,100,2,972
42,39,90,-1,973
42,36,85,1,974
28,26,60,0,975
49,35,90,6,976
77,74,165,-1,977
35,28,70,1,978
56,39,100,8,979
63,60,130,1,980
28,25,55,2,981
63,67,135,-3,982
42,39,80,4,983
42,36,80,4,984
28,27,65,-3,985
63,49,120,6,986
42,36,90,-1,987
49,39,95,3,988
49,34,105,-1,989
28,35,60,-1,990
28,26,50,4,991
49,47,100,1,992
42,39,85,2,993
42,38,75,6,994
56,46,100,8,995
42,40,90,-1,996
35,25,65,4,997
21,17,45,0,998
42,38,90,-1,999
63,58,125,3,1000
