Sum of delta,Phase,Qubits,Spin,CorrelatedPairs,OnesCount
62,1,19,true,11,12
62,2,13,true,4,9
62,2,15,true,9,10
60,0,11,false,8,10
60,0,13,false,8,11
60,0,17,false,5,10
60,0,17,false,10,13
60,0,17,true,8,13
60,0,17,true,10,14
60,0,20,false,12,13
60,0,20,false,12,14
60,0,20,true,11,15
60,1,10,true,7,8
60,1,11,true,8,9
60,1,19,true,12,15
60,1,20,false,7,13
60,1,20,true,12,12
60,1,20,true,12,13
60,2,15,false,9,12
60,2,17,false,6,11
60,2,17,false,10,13
60,2,17,false,10,14
60,2,17,true,11,12
60,2,20,false,12,12
58,0,17,false,6,11
58,0,20,false,12,12
58,0,20,true,12,12
58,1,13,true,3,8
58,1,20,true,11,11
58,2,19,true,12,12
57,2,20,true,7,13
56,0,11,true,2,7
56,0,11,true,8,9
56,0,19,true,10,14
56,0,19,true,11,14
56,1,13,false,5,9
56,1,15,true,8,12
56,1,19,false,13,13
56,1,20,false,12,14
56,2,10,true,7,9
56,2,11,true,8,10
56,2,13,true,8,11
56,2,15,false,4,9
56,2,15,false,8,12
56,2,15,true,4,9
56,2,15,true,5,10
56,2,15,true,8,12
56,2,17,true,6,11
55,0,20,true,12,15
55,1,10,false,2,6
55,1,20,true,13,15
54,0,15,false,5,10
54,0,19,false,11,12
54,0,19,true,12,11
54,0,20,false,13,13
54,1,13,true,9,8
54,1,13,true,10,12
54,1,20,true,13,16
54,2,13,true,8,9
54,2,19,true,12,15
53,0,20,false,11,11
53,0,20,true,7,11
52,0,15,false,6,11
52,0,15,true,10,12
52,0,19,false,12,11
52,0,19,true,13,13
52,0,20,false,13,14
52,1,15,true,10,11
52,1,19,false,6,12
52,1,19,false,12,14
52,2,11,true,8,9
52,2,13,false,9,9
52,2,13,true,3,8
52,2,17,false,8,13
52,2,17,false,11,10
52,2,19,false,12,13
52,2,19,true,9,14
52,2,19,true,11,14
52,2,19,true,12,11
52,2,19,true,12,13
52,2,20,true,7,11
52,2,20,true,12,12
51,1,10,true,2,6
51,2,10,true,2,6
51,2,20,true,11,11
50,0,10,true,2,6
50,0,17,false,11,10
50,0,20,false,11,15
50,0,20,true,12,11
50,0,20,true,13,15
50,1,17,true,11,11
50,2,11,true,2,7
50,2,17,true,11,10
50,2,20,false,12,15
50,2,20,true,12,15
49,1,20,false,7,11
49,2,20,false,7,11
48,0,15,true,10,10
48,0,17,false,8,13
